"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1053049$16.87%1.05m","59.15%","-","61.22%","273.1",""
"Kade","944723$15.14%944.7k","53.05%","-","61.97%","245.0",""
"Furckinstein","384933$6.17%384.9k","44.56%","-","28.66%","99.8",""
"Darunor","294710$4.72%294.7k","37.31%","-","24.31%","76.4",""
"Akecheta","264571$4.24%264.6k","18.49%","-","20.87%","68.6",""
"Changó","263780$4.23%263.8k","32.76%","-","22.67%","68.4",""
"Danty","223716$3.58%223.7k","31.39%","-","19.12%","58.0",""
"Deadstrike","209352$3.35%209.4k","9.78%","57","17.39%","54.3",""
"Kirilov","190333$3.05%190.3k","20.32%","-","19.14%","49.4",""
"Trii","189717$3.04%189.7k","13.24%","-","17.14%","49.2",""
"Minuteman","170547$2.73%170.5k","8.00%","-","15.54%","44.2",""
"Chainguin","117655$1.89%117.7k","11.45%","60","5.61%","30.5",""
"Gonz","107621$1.72%107.6k","21.06%","-","6.49%","27.9",""
"Hoebowjoe","99194$1.59%99.2k","23.01%","-","5.56%","25.7",""
"Ultimecia","98822$1.58%98.8k","21.66%","-","6.36%","25.6",""
"Fossett","98696$1.58%98.7k","16.51%","-","7.11%","25.6",""
"Mesho","92611$1.48%92.6k","21.15%","-","5.07%","24.0",""
"Mogs","90186$1.44%90.2k","7.30%","-","3.62%","23.4",""
"Ghazan","88275$1.41%88.3k","22.24%","59","3.68%","22.9",""
"Trike","86446$1.39%86.4k","13.56%","-","5.12%","22.4",""
"Jiero","84215$1.35%84.2k","24.02%","-","5.00%","21.8",""
"Enders","83799$1.34%83.8k","20.33%","58","4.52%","21.7",""
"Disk","80954$1.30%81.0k","11.08%","60","4.08%","21.0",""
"Dietolive","80143$1.28%80.1k","17.83%","-","6.11%","20.8",""
"Valara","78700$1.26%78.7k","27.21%","-","4.69%","20.4",""
"Cavander","77767$1.25%77.8k","15.82%","-","3.42%","20.2",""
"Milku","77429$1.24%77.4k","14.36%","60","3.70%","20.1",""
"Pythagorean","76912$1.23%76.9k","15.44%","-","2.82%","19.9",""
"Trololololo","72669$1.16%72.7k","4.44%","57","4.11%","18.8",""
"Melven","72611$1.16%72.6k","19.17%","-","4.36%","18.8",""
"Necrohealya","69744$1.12%69.7k","26.63%","-","4.27%","18.1",""
"Grimseeker","66489$1.07%66.5k","24.20%","-","2.68%","17.2",""
"Funk","65558$1.05%65.6k","20.20%","-","3.58%","17.0",""
"Ishney","64717$1.04%64.7k","6.72%","-","2.13%","16.8",""
"Mexius","59270$0.95%59.3k","21.02%","-","2.63%","15.4",""
"Deyn","57291$0.92%57.3k","20.20%","-","5.47%","14.9",""
"Nakur","3633$0.06%3.6k","21.90%","59","0.00%","0.9",""
"Strollin","151$0.00%151.0","28.77%","28","0.00%","0.0",""
"Choppaa","147$0.00%147.0","13.02%","35","0.00%","0.0",""
"Mooed","108$0.00%108.0","12.20%","32","0.00%","0.0",""
"Ragool","68$0.00%68.0","40.35%","34","0.00%","0.0",""
"Writher","12$0.00%12.0","14.29%","3","0.00%","0.0",""